Tempo (s),Posicao X,Posicao Y
25.542183333333334,217,598
25.558866666666667,221,598
25.57555,226,598
25.592233333333336,230,598
25.60891666666667,235,598
25.625600000000002,239,598
25.642283333333335,244,598
25.658966666666668,249,599
25.67565,254,598
25.69233333333333,258,598
25.709016666666667,263,598
25.7257,268,598
25.742383333333336,273,598
25.75906666666667,277,598
25.775750000000002,282,598
25.792433333333335,286,598
25.809116666666668,291,597
25.8258,295,597
25.842483333333334,298,596
25.859166666666667,302,596
25.87585,305,596
25.892533333333336,308,596
25.90921666666667,311,595
25.925900000000002,314,595
25.942583333333335,316,594
25.959266666666668,318,594
25.97595,320,593
25.992633333333334,321,593
26.009316666666667,322,593
26.026,323,593
26.042683333333336,324,593
26.05936666666667,324,593
26.076050000000002,324,593
26.092733333333335,323,593
26.109416666666668,322,593
26.1261,321,594
26.142783333333334,320,594
26.159466666666667,318,594
26.17615,316,594
26.192833333333336,314,595
26.20951666666667,311,595
26.226200000000002,308,595
26.242883333333335,305,595
26.259566666666668,301,596
26.27625,298,597
26.292933333333334,294,597
26.309616666666667,290,597
26.3263,286,597
26.342983333333336,281,598
26.35966666666667,277,598
26.376350000000002,272,598
26.393033333333335,268,599
26.409716666666668,263,599
26.4264,258,599
26.443083333333337,254,599
26.459766666666667,249,599
26.47645,244,599
26.493133333333336,239,599
26.50981666666667,235,599
26.526500000000002,231,599
26.543183333333335,226,599
26.559866666666668,223,599
26.57655,218,599
26.593233333333334,215,599
26.609916666666667,210,598
26.6266,207,598
26.643283333333336,203,598
26.65996666666667,200,597
26.676650000000002,197,597
26.693333333333335,194,597
26.710016666666668,192,596
26.7267,190,596
26.743383333333334,188,596
26.760066666666667,186,596
26.77675,185,595
26.793433333333336,184,595
26.81011666666667,184,595
26.826800000000002,183,595
26.843483333333335,184,596
26.860166666666668,184,596
26.87685,185,596
26.893533333333334,186,596
26.910216666666667,187,596
26.9269,189,596
26.943583333333336,191,596
26.96026666666667,193,596
26.976950000000002,196,596
26.993633333333335,198,597
27.010316666666668,201,597
27.027,205,597
27.043683333333334,208,597
27.060366666666667,212,598
27.07705,216,597
27.093733333333336,220,598
27.11041666666667,224,598
27.127100000000002,229,598
27.143783333333335,234,598
27.160466666666668,238,598
27.17715,243,598
27.193833333333338,248,598
27.210516666666667,253,598
27.2272,257,598
27.243883333333336,262,598
27.26056666666667,267,598
27.277250000000002,272,597
27.293933333333335,277,597
27.310616666666668,281,597
27.3273,286,597
27.343983333333334,290,596
27.360666666666667,294,596
27.37735,298,596
27.394033333333336,302,595
27.41071666666667,306,595
27.427400000000002,309,595
27.444083333333335,312,594
27.460766666666668,315,594
27.47745,317,593
27.494133333333334,319,593
27.510816666666667,321,593
27.5275,323,593
27.544183333333336,324,593
27.56086666666667,325,593
27.577550000000002,326,592
27.594233333333335,326,592
27.610916666666668,327,592
27.6276,326,592
27.644283333333334,326,592
27.660966666666667,325,592
27.67765,324,592
27.694333333333336,322,592
27.71101666666667,320,592
27.727700000000002,318,593
27.744383333333335,316,593
27.761066666666668,314,593
27.77775,311,593
27.794433333333334,308,593
27.811116666666667,304,593
27.8278,301,593
27.844483333333336,297,594
27.86116666666667,293,594
27.877850000000002,288,594
27.894533333333335,284,595
27.911216666666668,280,595
27.9279,275,595
27.944583333333334,271,596
27.961266666666667,266,596
27.97795,262,596
27.994633333333336,257,596
28.01131666666667,253,596
28.028000000000002,248,596
28.044683333333335,243,596
28.061366666666668,239,596
28.078049999999998,234,596
28.094733333333334,230,596
28.111416666666667,226,596
28.1281,222,596
28.144783333333336,218,596
28.16146666666667,214,596
28.178150000000002,210,595
28.194833333333335,207,595
28.211516666666668,204,595
28.2282,202,595
28.244883333333334,200,595
28.261566666666667,198,595
28.27825,196,595
28.294933333333336,194,595
28.31161666666667,193,595
28.328300000000002,191,595
28.344983333333335,191,595
28.361666666666668,190,595
28.37835,190,595
28.395033333333334,190,595
28.411716666666667,191,595
28.4284,191,595
28.445083333333336,192,595
28.46176666666667,194,595
28.478450000000002,195,595
28.495133333333335,197,596
28.511816666666668,200,596
28.5285,202,596
28.545183333333334,205,597
28.561866666666667,208,597
28.57855,211,597
28.595233333333336,215,597
28.61191666666667,218,598
28.628600000000002,222,598
28.645283333333335,226,598
28.661966666666668,230,599
28.67865,234,599
28.695333333333334,239,599
28.712016666666667,244,599
28.7287,248,599
28.745383333333336,253,599
28.76206666666667,258,599
28.778750000000002,262,598
28.795433333333335,267,599
28.812116666666668,272,598
28.828800000000005,276,598
28.845483333333334,281,598
28.862166666666667,285,598
28.87885,290,598
28.895533333333336,294,597
28.91221666666667,298,597
28.928900000000002,302,597
28.945583333333335,305,596
28.962266666666668,309,596
28.97895,312,595
28.995633333333334,315,595
29.012316666666667,317,594
29.029,319,595
29.045683333333336,321,594
29.06236666666667,323,594
29.079050000000002,325,594
29.095733333333335,326,594
29.112416666666668,327,594
29.1291,327,594
29.145783333333334,327,594
29.162466666666667,327,594
29.17915,327,594
29.195833333333336,326,594
29.21251666666667,325,594
29.229200000000002,324,594
29.245883333333335,322,594
29.262566666666668,320,595
29.27925,318,595
29.295933333333334,315,595
29.312616666666667,313,595
29.3293,310,596
29.345983333333336,307,596
29.36266666666667,303,596
29.379350000000002,300,596
29.396033333333335,295,597
29.412716666666668,292,597
29.4294,287,598
29.446083333333334,283,598
29.462766666666667,279,598
29.47945,274,598
29.496133333333336,270,599
29.51281666666667,265,598
29.529500000000002,261,599
29.546183333333335,257,599
29.562866666666668,252,599
29.579550000000005,248,599
29.596233333333334,243,600
29.612916666666667,238,600
29.6296,234,600
29.646283333333336,230,599
29.66296666666667,225,599
29.679650000000002,221,599
29.696333333333335,218,599
29.713016666666668,214,598
29.7297,211,598
29.746383333333334,207,598
29.763066666666667,205,598
29.77975,202,598
29.796433333333336,200,597
29.81311666666667,197,597
29.829800000000002,196,597
29.846483333333335,194,597
29.863166666666668,192,597
29.87985,191,597
29.896533333333334,191,597
29.913216666666667,190,596
29.9299,190,597
29.946583333333336,190,596
29.96326666666667,191,597
29.979950000000002,191,596
29.996633333333335,192,597
30.013316666666668,193,597
30.03,195,597
30.046683333333334,197,597
30.063366666666667,199,597
30.08005,201,597
30.096733333333336,204,598
30.11341666666667,207,598
30.130100000000002,210,598
30.146783333333335,213,598
30.163466666666668,217,598
30.18015,221,599
30.196833333333334,224,599
30.213516666666667,229,599
30.2302,233,599
30.246883333333336,237,599
30.26356666666667,241,599
30.280250000000002,246,599
30.296933333333335,250,599
30.313616666666668,255,598
30.3303,259,598
30.346983333333334,264,598
30.363666666666667,269,598
30.38035,273,597
30.397033333333336,277,597
30.41371666666667,282,596
30.430400000000002,286,596
30.447083333333335,290,595
30.463766666666665,294,595
30.48045,297,594
30.497133333333334,300,593
30.513816666666667,304,593
30.5305,307,593
30.547183333333336,309,592
30.56386666666667,311,592
30.580550000000002,313,591
30.597233333333335,315,591
30.613916666666668,317,591
30.6306,318,590
30.647283333333334,319,590
30.663966666666667,320,590
30.68065,320,590
30.697333333333336,321,590
30.71401666666667,320,590
30.730700000000002,320,590
30.747383333333335,319,590
30.76406666666667,318,590
30.78075,316,590
30.797433333333334,315,590
30.814116666666667,313,590
30.8308,311,590
30.847483333333336,308,590
30.86416666666667,305,591
30.880850000000002,302,591
30.897533333333335,299,591
30.91421666666667,296,592
30.9309,294,592
30.947583333333334,289,592
30.964266666666667,286,592
30.98095,282,592
30.997633333333336,278,593
31.01431666666667,274,593
31.031000000000002,270,593
31.047683333333335,265,593
31.06436666666667,261,593
31.08105,256,593
31.097733333333334,251,593
31.114416666666667,246,593
31.1311,242,593
31.147783333333336,237,593
31.16446666666667,232,592
31.181150000000002,228,592
31.197833333333335,224,592
31.214516666666672,220,592
31.2312,215,592
31.247883333333334,212,592
31.264566666666667,208,592
31.28125,204,591
31.297933333333336,202,591
